s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
,,42.867704,-85.565109,,,,,,40.63007,-79.9695,,,
,,42.867704,-85.565109,,,,,,40.60146,-79.75977,,,
,,42.867704,-85.565109,,,,,,40.674953,-80.106364,,,
,,42.867704,-85.565109,,,,,,40.44951,-80.2445,,,
,,42.867704,-85.565109,,,,,,40.456939,-79.990055,,,
,,42.867704,-85.565109,,,,,,40.442229,-79.982794,,,
,,42.867704,-85.565109,,,,,,40.32451,-79.70115,,,
,,42.867704,-85.565109,,,,,,40.709713,-80.104597,,,
,,42.867704,-85.565109,,,,,,41.21479,-79.38532,,,
,,42.867704,-85.565109,,,,,,39.73788,-76.70136,,,
,,42.867704,-85.565109,,,,,,39.76871,-76.67969,,,
,,42.867704,-85.565109,,,,,,40.708751,-76.282986,,,
,,42.867704,-85.565109,,,,,,40.625297,-75.379174,,,
,,42.867704,-85.565109,,,,,,41.27843,-75.905842,,,
,,42.867704,-85.565109,,,,,,41.166401,-75.961432,,,
,,42.867704,-85.565109,,,,,,39.895162,-75.278829,,,
,,42.867704,-85.565109,,,,,,40.179971,-74.912096,,,
,,42.867704,-85.565109,,,,,,40.145759,-74.841107,,,
,,42.867704,-85.565109,,,,,,40.140815,-74.85404,,,
,,42.867704,-85.565109,,,,,,39.918804,-75.399118,,,
,,42.867704,-85.565109,,,,,,40.06317,-75.081317,,,
,,42.867704,-85.565109,,,,,,39.870768,-75.253247,,,
,,42.867704,-85.565109,,,,,,39.912284,-75.630235,,,
,,42.867704,-85.565109,,,,,,39.841367,-75.847944,,,
,,42.867704,-85.565109,,,,,,40.10965,-75.27962,,,
,,42.867704,-85.565109,,,,,,40.263457,-75.617195,,,
,,42.867704,-85.565109,,,,,,39.614737,-75.701277,,,
,,42.867704,-85.565109,,,,,,39.80379,-75.45814,,,
,,42.867704,-85.565109,,,,,,39.592895,-75.651466,,,
,,42.867704,-85.565109,,,,,,39.564499,-75.597047,,,
,,42.867704,-85.565109,,,,,,39.716862,-75.617678,,,
,,42.867704,-85.565109,,,,,,39.156376,-75.49549,,,
,,42.867704,-85.565109,,,,,,38.908218,-76.982147,,,
,,42.867704,-85.565109,,,,,,38.876494,-77.022948,,,
,,42.867704,-85.565109,,,,,,38.907017,-77.041569,,,
,,42.867704,-85.565109,,,,,,38.996242,-77.449952,,,
,,42.867704,-85.565109,,,,,,38.88668,-77.44566,,,
,,42.867704,-85.565109,,,,,,38.96146,-77.3418,,,
,,42.867704,-85.565109,,,,,,38.893311,-77.014647,,,
,,42.867704,-85.565109,,,,,,39.093136,-76.881945,,,
,,42.867704,-85.565109,,,,,,38.868212,-76.815591,,,
,,42.867704,-85.565109,,,,,,38.983759,-77.079449,,,
,,42.867704,-85.565109,,,,,,39.150364,-77.077651,,,
,,42.867704,-85.565109,,,,,,39.089557,-77.184127,,,
,,42.867704,-85.565109,,,,,,39.107357,-77.0996,,,
,,42.867704,-85.565109,,,,,,39.029839,-77.234792,,,
,,42.867704,-85.565109,,,,,,39.210218,-77.239729,,,
,,42.867704,-85.565109,,,,,,39.139336,-77.182953,,,
,,42.867704,-85.565109,,,,,,39.115209,-77.25161,,,
,,42.867704,-85.565109,,,,,,39.161943,-76.629444,,,
,,42.867704,-85.565109,,,,,,39.205756,-76.753093,,,
,,42.867704,-85.565109,,,,,,39.20344,-76.66219,,,
,,42.867704,-85.565109,,,,,,39.429055,-76.787696,,,
,,42.867704,-85.565109,,,,,,39.564201,-76.980701,,,
,,42.867704,-85.565109,,,,,,39.241606,-76.677291,,,
,,42.867704,-85.565109,,,,,,39.364713,-77.463561,,,
,,42.867704,-85.565109,,,,,,38.785864,-77.286156,,,
,,42.867704,-85.565109,,,,,,38.879466,-77.378858,,,
,,42.867704,-85.565109,,,,,,38.953033,-77.229496,,,
,,42.867704,-85.565109,,,,,,38.775687,-77.233746,,,
,,42.867704,-85.565109,,,,,,38.935292,-77.268022,,,
,,42.867704,-85.565109,,,,,,38.860335,-77.100868,,,
,,42.867704,-85.565109,,,,,,38.80686,-77.056439,,,
,,42.867704,-85.565109,,,,,,38.277209,-77.17225,,,
,,42.867704,-85.565109,,,,,,38.471751,-77.510222,,,
,,42.867704,-85.565109,,,,,,39.048863,-78.285171,,,
,,42.867704,-85.565109,,,,,,38.31346,-78.20723,,,
,,42.867704,-85.565109,,,,,,38.422777,-78.877137,,,
,,42.867704,-85.565109,,,,,,38.026588,-78.48045,,,
,,42.867704,-85.565109,,,,,,37.474505,-77.585993,,,
,,42.867704,-85.565109,,,,,,37.272486,-79.952709,,,
,,42.867704,-85.565109,,,,,,37.297919,-79.98776,,,
,,42.867704,-85.565109,,,,,,37.256283,-80.43473,,,
,,42.867704,-85.565109,,,,,,37.28814,-80.067762,,,
,,42.867704,-85.565109,,,,,,37.382542,-79.218121,,,
,,42.867704,-85.565109,,,,,,38.359561,-81.68613,,,
,,42.867704,-85.565109,,,,,,39.2951,-77.86055,,,
,,42.867704,-85.565109,,,,,,39.34487,-78.758487,,,
,,42.867704,-85.565109,,,,,,36.058599,-80.320965,,,
,,42.867704,-85.565109,,,,,,35.712397,-78.915514,,,
,,42.867704,-85.565109,,,,,,35.801341,-78.816564,,,
,,42.867704,-85.565109,,,,,,35.850295,-79.023205,,,
,,42.867704,-85.565109,,,,,,35.607666,-78.829724,,,
,,42.867704,-85.565109,,,,,,35.852458,-78.843526,,,
,,42.867704,-85.565109,,,,,,35.689086,-78.675118,,,
,,42.867704,-85.565109,,,,,,35.898505,-78.63549,,,
,,42.867704,-85.565109,,,,,,36.091848,-78.908043,,,
,,42.867704,-85.565109,,,,,,35.37874,-81.37897,,,
,,42.867704,-85.565109,,,,,,35.50233,-80.83912,,,
,,42.867704,-85.565109,,,,,,35.115644,-80.597878,,,
,,42.867704,-85.565109,,,,,,35.58458,-80.778871,,,
,,42.867704,-85.565109,,,,,,35.250841,-80.820091,,,
,,42.867704,-85.565109,,,,,,35.128678,-80.933793,,,
,,42.867704,-85.565109,,,,,,35.664752,-82.492664,,,
,,42.867704,-85.565109,,,,,,33.976907,-81.253034,,,
,,42.867704,-85.565109,,,,,,33.868775,-78.948287,,,
,,42.867704,-85.565109,,,,,,34.178813,-82.163078,,,
,,42.867704,-85.565109,,,,,,34.290916,-82.154473,,,
,,42.867704,-85.565109,,,,,,34.65177,-82.78375,,,
,,42.867704,-85.565109,,,,,,33.960353,-84.037859,,,
,,42.867704,-85.565109,,,,,,34.112373,-84.30205,,,
,,42.867704,-85.565109,,,,,,34.078229,-84.228131,,,
,,42.867704,-85.565109,,,,,,34.02679,-84.242235,,,
,,42.867704,-85.565109,,,,,,34.042479,-84.026171,,,
,,42.867704,-85.565109,,,,,,34.232095,-84.157975,,,
,,42.867704,-85.565109,,,,,,34.203659,-84.103108,,,
,,42.867704,-85.565109,,,,,,34.00309,-84.012608,,,
